GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.apache.commons.cli,PosixParser,314,0,52,0,68,0,33,0,7,0
JaCoCo Coverage Report,org.apache.commons.cli,MissingArgumentException,3,13,0,0,1,5,1,2,1,2
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine,209,134,31,15,43,32,34,16,16,11
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter,481,449,85,35,98,114,69,33,16,26
JaCoCo Coverage Report,org.apache.commons.cli,Option.Builder,71,37,7,1,21,13,15,5,11,5
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser.Builder,24,0,0,0,8,0,4,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser,752,257,154,36,154,63,103,22,14,16
JaCoCo Coverage Report,org.apache.commons.cli,ParseException,0,4,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.cli,OptionValidator,17,53,3,13,3,11,4,8,1,3
JaCoCo Coverage Report,org.apache.commons.cli,Options,182,115,17,5,39,23,17,12,8,10
JaCoCo Coverage Report,org.apache.commons.cli,Option,298,227,44,24,68,55,57,26,29,20
JaCoCo Coverage Report,org.apache.commons.cli,OptionBuilder,144,0,4,0,62,0,23,0,21,0
JaCoCo Coverage Report,org.apache.commons.cli,Parser,392,0,76,0,104,0,51,0,13,0
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter.OptionComparator,6,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.apache.commons.cli,Util,30,32,8,6,4,9,7,4,1,3
JaCoCo Coverage Report,org.apache.commons.cli,PatternOptionBuilder,110,56,24,20,31,11,18,13,2,3
JaCoCo Coverage Report,org.apache.commons.cli,UnrecognizedOptionException,5,10,0,0,2,4,1,2,1,2
JaCoCo Coverage Report,org.apache.commons.cli,AmbiguousOptionException,61,0,4,0,16,0,5,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine.Builder,6,17,0,0,2,5,1,3,1,3
JaCoCo Coverage Report,org.apache.commons.cli,BasicParser,5,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.apache.commons.cli,GnuParser,143,0,20,0,28,0,12,0,2,0
JaCoCo Coverage Report,org.apache.commons.cli,AlreadySelectedException,12,20,0,0,4,6,3,2,3,2
JaCoCo Coverage Report,org.apache.commons.cli,MissingOptionException,0,56,0,6,0,15,0,7,0,4
JaCoCo Coverage Report,org.apache.commons.cli,OptionGroup,9,120,3,11,2,33,3,13,0,9
JaCoCo Coverage Report,org.apache.commons.cli,TypeHandler,148,15,20,0,41,4,19,2,9,2
