GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.apache.commons.cli,PosixParser,314,0,52,0,68,0,33,0,7,0
JaCoCo Coverage Report,org.apache.commons.cli,MissingArgumentException,16,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine,257,86,40,6,53,22,39,11,17,10
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter,871,59,120,0,190,22,94,8,34,8
JaCoCo Coverage Report,org.apache.commons.cli,Option.Builder,55,53,3,5,18,16,12,8,10,6
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser.Builder,24,0,0,0,8,0,4,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser,806,203,166,24,163,54,111,14,19,11
JaCoCo Coverage Report,org.apache.commons.cli,ParseException,0,4,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.cli,OptionValidator,10,60,3,13,2,12,4,8,1,3
JaCoCo Coverage Report,org.apache.commons.cli,Options,116,181,11,11,25,37,12,17,5,13
JaCoCo Coverage Report,org.apache.commons.cli,Option,247,278,43,25,49,74,43,40,17,32
JaCoCo Coverage Report,org.apache.commons.cli,OptionBuilder,85,59,4,0,38,24,19,4,17,4
JaCoCo Coverage Report,org.apache.commons.cli,Parser,392,0,76,0,104,0,51,0,13,0
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter.OptionComparator,6,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.apache.commons.cli,Util,33,29,8,6,4,9,5,6,1,3
JaCoCo Coverage Report,org.apache.commons.cli,PatternOptionBuilder,147,19,44,0,33,9,30,1,4,1
JaCoCo Coverage Report,org.apache.commons.cli,UnrecognizedOptionException,0,15,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,org.apache.commons.cli,AmbiguousOptionException,61,0,4,0,16,0,5,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine.Builder,6,17,0,0,2,5,1,3,1,3
JaCoCo Coverage Report,org.apache.commons.cli,BasicParser,5,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.apache.commons.cli,GnuParser,143,0,20,0,28,0,12,0,2,0
JaCoCo Coverage Report,org.apache.commons.cli,AlreadySelectedException,32,0,0,0,10,0,5,0,5,0
JaCoCo Coverage Report,org.apache.commons.cli,MissingOptionException,0,56,0,6,0,15,0,7,0,4
JaCoCo Coverage Report,org.apache.commons.cli,OptionGroup,91,38,9,5,23,12,9,7,4,5
JaCoCo Coverage Report,org.apache.commons.cli,TypeHandler,81,82,10,10,22,23,15,6,6,5
