GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.apache.commons.cli,PosixParser,314,0,52,0,68,0,33,0,7,0
JaCoCo Coverage Report,org.apache.commons.cli,MissingArgumentException,16,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine,178,165,27,19,38,37,27,23,11,16
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter,551,379,96,24,115,97,75,27,17,25
JaCoCo Coverage Report,org.apache.commons.cli,Option.Builder,108,0,8,0,34,0,20,0,16,0
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser.Builder,24,0,0,0,8,0,4,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser,747,262,153,37,150,67,102,23,13,17
JaCoCo Coverage Report,org.apache.commons.cli,ParseException,0,4,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.cli,OptionValidator,13,57,4,12,2,12,4,8,1,3
JaCoCo Coverage Report,org.apache.commons.cli,Options,147,150,12,10,32,30,14,15,7,11
JaCoCo Coverage Report,org.apache.commons.cli,Option,322,203,44,24,73,50,51,32,25,24
JaCoCo Coverage Report,org.apache.commons.cli,OptionBuilder,144,0,4,0,62,0,23,0,21,0
JaCoCo Coverage Report,org.apache.commons.cli,Parser,389,3,76,0,103,1,50,1,12,1
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter.OptionComparator,6,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.apache.commons.cli,Util,24,38,6,8,2,11,5,6,1,3
JaCoCo Coverage Report,org.apache.commons.cli,PatternOptionBuilder,113,53,24,20,32,10,19,12,3,2
JaCoCo Coverage Report,org.apache.commons.cli,UnrecognizedOptionException,5,10,0,0,2,4,1,2,1,2
JaCoCo Coverage Report,org.apache.commons.cli,AmbiguousOptionException,61,0,4,0,16,0,5,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine.Builder,6,17,0,0,2,5,1,3,1,3
JaCoCo Coverage Report,org.apache.commons.cli,BasicParser,0,5,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,org.apache.commons.cli,GnuParser,73,70,10,10,10,18,8,4,0,2
JaCoCo Coverage Report,org.apache.commons.cli,AlreadySelectedException,9,23,0,0,3,7,2,3,2,3
JaCoCo Coverage Report,org.apache.commons.cli,MissingOptionException,0,56,0,6,0,15,0,7,0,4
JaCoCo Coverage Report,org.apache.commons.cli,OptionGroup,129,0,14,0,35,0,16,0,9,0
JaCoCo Coverage Report,org.apache.commons.cli,TypeHandler,151,12,20,0,42,3,20,1,10,1
