GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.apache.commons.cli,PosixParser,314,0,52,0,68,0,33,0,7,0
JaCoCo Coverage Report,org.apache.commons.cli,MissingArgumentException,16,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine,305,38,44,2,63,12,45,5,22,5
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter,867,63,120,0,188,24,93,9,33,9
JaCoCo Coverage Report,org.apache.commons.cli,Option.Builder,71,37,7,1,21,13,15,5,11,5
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser.Builder,24,0,0,0,8,0,4,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser,1009,0,190,0,217,0,125,0,30,0
JaCoCo Coverage Report,org.apache.commons.cli,ParseException,0,4,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.cli,OptionValidator,0,70,2,14,0,14,2,10,0,4
JaCoCo Coverage Report,org.apache.commons.cli,Options,141,156,12,10,30,32,13,16,6,12
JaCoCo Coverage Report,org.apache.commons.cli,Option,363,162,59,9,82,41,63,20,33,16
JaCoCo Coverage Report,org.apache.commons.cli,OptionBuilder,144,0,4,0,62,0,23,0,21,0
JaCoCo Coverage Report,org.apache.commons.cli,Parser,389,3,76,0,103,1,50,1,12,1
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter.OptionComparator,6,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.apache.commons.cli,Util,46,16,11,3,8,5,9,2,2,2
JaCoCo Coverage Report,org.apache.commons.cli,PatternOptionBuilder,95,71,16,28,23,19,11,20,2,3
JaCoCo Coverage Report,org.apache.commons.cli,UnrecognizedOptionException,0,15,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,org.apache.commons.cli,AmbiguousOptionException,61,0,4,0,16,0,5,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine.Builder,0,23,0,0,0,7,0,4,0,4
JaCoCo Coverage Report,org.apache.commons.cli,BasicParser,0,5,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,org.apache.commons.cli,GnuParser,143,0,20,0,28,0,12,0,2,0
JaCoCo Coverage Report,org.apache.commons.cli,AlreadySelectedException,32,0,0,0,10,0,5,0,5,0
JaCoCo Coverage Report,org.apache.commons.cli,MissingOptionException,56,0,6,0,15,0,7,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,OptionGroup,97,32,14,0,26,9,10,6,3,6
JaCoCo Coverage Report,org.apache.commons.cli,TypeHandler,97,66,8,12,25,20,15,6,7,4
