GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.apache.commons.cli,PosixParser,314,0,52,0,68,0,33,0,7,0
JaCoCo Coverage Report,org.apache.commons.cli,MissingArgumentException,0,16,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine,218,125,32,14,44,31,37,13,17,10
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter,852,78,113,7,187,25,92,10,35,7
JaCoCo Coverage Report,org.apache.commons.cli,Option.Builder,76,32,7,1,23,11,16,4,12,4
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser.Builder,24,0,0,0,8,0,4,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser,1009,0,190,0,217,0,125,0,30,0
JaCoCo Coverage Report,org.apache.commons.cli,ParseException,0,4,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.cli,OptionValidator,25,45,8,8,4,10,7,5,1,3
JaCoCo Coverage Report,org.apache.commons.cli,Options,96,201,8,14,21,41,10,19,5,13
JaCoCo Coverage Report,org.apache.commons.cli,Option,328,197,58,10,68,55,57,26,26,23
JaCoCo Coverage Report,org.apache.commons.cli,OptionBuilder,77,67,4,0,34,28,17,6,15,6
JaCoCo Coverage Report,org.apache.commons.cli,Parser,389,3,76,0,103,1,50,1,12,1
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter.OptionComparator,6,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.apache.commons.cli,Util,33,29,8,6,4,9,5,6,1,3
JaCoCo Coverage Report,org.apache.commons.cli,PatternOptionBuilder,113,53,24,20,32,10,19,12,3,2
JaCoCo Coverage Report,org.apache.commons.cli,UnrecognizedOptionException,8,7,0,0,3,3,2,1,2,1
JaCoCo Coverage Report,org.apache.commons.cli,AmbiguousOptionException,61,0,4,0,16,0,5,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine.Builder,23,0,0,0,7,0,4,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,BasicParser,5,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.apache.commons.cli,GnuParser,86,57,12,8,13,15,8,4,0,2
JaCoCo Coverage Report,org.apache.commons.cli,AlreadySelectedException,32,0,0,0,10,0,5,0,5,0
JaCoCo Coverage Report,org.apache.commons.cli,MissingOptionException,0,56,0,6,0,15,0,7,0,4
JaCoCo Coverage Report,org.apache.commons.cli,OptionGroup,101,28,14,0,27,8,11,5,4,5
JaCoCo Coverage Report,org.apache.commons.cli,TypeHandler,153,10,20,0,42,3,20,1,10,1
