GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.apache.commons.cli,PosixParser,314,0,52,0,68,0,33,0,7,0
JaCoCo Coverage Report,org.apache.commons.cli,MissingArgumentException,16,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine,303,40,44,2,63,12,45,5,22,5
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter,639,291,93,27,136,76,73,29,21,21
JaCoCo Coverage Report,org.apache.commons.cli,Option.Builder,64,44,6,2,20,14,14,6,10,6
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser.Builder,24,0,0,0,8,0,4,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser,1000,9,190,0,213,4,124,1,29,1
JaCoCo Coverage Report,org.apache.commons.cli,ParseException,0,4,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.cli,OptionValidator,23,47,7,9,3,11,6,6,1,3
JaCoCo Coverage Report,org.apache.commons.cli,Options,146,151,11,11,32,30,14,15,8,10
JaCoCo Coverage Report,org.apache.commons.cli,Option,380,145,60,8,84,39,65,18,33,16
JaCoCo Coverage Report,org.apache.commons.cli,OptionBuilder,144,0,4,0,62,0,23,0,21,0
JaCoCo Coverage Report,org.apache.commons.cli,Parser,392,0,76,0,104,0,51,0,13,0
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter.OptionComparator,0,6,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.cli,Util,3,59,3,11,1,12,4,7,1,3
JaCoCo Coverage Report,org.apache.commons.cli,PatternOptionBuilder,90,76,16,28,21,21,10,21,1,4
JaCoCo Coverage Report,org.apache.commons.cli,UnrecognizedOptionException,5,10,0,0,2,4,1,2,1,2
JaCoCo Coverage Report,org.apache.commons.cli,AmbiguousOptionException,61,0,4,0,16,0,5,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine.Builder,0,23,0,0,0,7,0,4,0,4
JaCoCo Coverage Report,org.apache.commons.cli,BasicParser,5,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.apache.commons.cli,GnuParser,143,0,20,0,28,0,12,0,2,0
JaCoCo Coverage Report,org.apache.commons.cli,AlreadySelectedException,12,20,0,0,4,6,3,2,3,2
JaCoCo Coverage Report,org.apache.commons.cli,MissingOptionException,0,56,0,6,0,15,0,7,0,4
JaCoCo Coverage Report,org.apache.commons.cli,OptionGroup,72,57,9,5,19,16,7,9,2,7
JaCoCo Coverage Report,org.apache.commons.cli,TypeHandler,131,32,20,0,37,8,19,2,9,2
