GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.apache.commons.cli,PosixParser,314,0,52,0,68,0,33,0,7,0
JaCoCo Coverage Report,org.apache.commons.cli,MissingArgumentException,0,16,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine,317,26,45,1,67,8,47,3,24,3
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter,487,443,87,33,100,112,67,35,16,26
JaCoCo Coverage Report,org.apache.commons.cli,Option.Builder,89,19,8,0,27,7,18,2,14,2
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser.Builder,24,0,0,0,8,0,4,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser,1009,0,190,0,217,0,125,0,30,0
JaCoCo Coverage Report,org.apache.commons.cli,ParseException,0,4,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.cli,OptionValidator,25,45,8,8,4,10,7,5,1,3
JaCoCo Coverage Report,org.apache.commons.cli,Options,149,148,11,11,32,30,15,14,8,10
JaCoCo Coverage Report,org.apache.commons.cli,Option,391,134,50,18,89,34,59,24,32,17
JaCoCo Coverage Report,org.apache.commons.cli,OptionBuilder,144,0,4,0,62,0,23,0,21,0
JaCoCo Coverage Report,org.apache.commons.cli,Parser,389,3,76,0,103,1,50,1,12,1
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter.OptionComparator,0,6,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.cli,Util,38,24,9,5,6,7,7,4,2,2
JaCoCo Coverage Report,org.apache.commons.cli,PatternOptionBuilder,166,0,44,0,42,0,31,0,5,0
JaCoCo Coverage Report,org.apache.commons.cli,UnrecognizedOptionException,0,15,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,org.apache.commons.cli,AmbiguousOptionException,61,0,4,0,16,0,5,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine.Builder,6,17,0,0,2,5,1,3,1,3
JaCoCo Coverage Report,org.apache.commons.cli,BasicParser,0,5,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,org.apache.commons.cli,GnuParser,143,0,20,0,28,0,12,0,2,0
JaCoCo Coverage Report,org.apache.commons.cli,AlreadySelectedException,32,0,0,0,10,0,5,0,5,0
JaCoCo Coverage Report,org.apache.commons.cli,MissingOptionException,56,0,6,0,15,0,7,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,OptionGroup,101,28,14,0,27,8,11,5,4,5
JaCoCo Coverage Report,org.apache.commons.cli,TypeHandler,145,18,18,2,40,5,19,2,10,1
