GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.apache.commons.cli,PosixParser,213,101,40,12,39,29,25,8,1,6
JaCoCo Coverage Report,org.apache.commons.cli,MissingArgumentException,16,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine,297,46,44,2,62,13,44,6,21,6
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter,365,565,74,46,77,135,68,34,17,25
JaCoCo Coverage Report,org.apache.commons.cli,Option.Builder,66,42,7,1,19,15,14,6,10,6
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser.Builder,24,0,0,0,8,0,4,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser,1009,0,190,0,217,0,125,0,30,0
JaCoCo Coverage Report,org.apache.commons.cli,ParseException,0,4,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.cli,OptionValidator,23,47,7,9,3,11,6,6,1,3
JaCoCo Coverage Report,org.apache.commons.cli,Options,118,179,8,14,26,36,12,17,7,11
JaCoCo Coverage Report,org.apache.commons.cli,Option,326,199,53,15,68,55,54,29,26,23
JaCoCo Coverage Report,org.apache.commons.cli,OptionBuilder,85,59,4,0,37,25,19,4,17,4
JaCoCo Coverage Report,org.apache.commons.cli,Parser,389,3,76,0,103,1,50,1,12,1
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter.OptionComparator,0,6,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.cli,Util,36,26,8,6,5,8,6,5,2,2
JaCoCo Coverage Report,org.apache.commons.cli,PatternOptionBuilder,113,53,24,20,32,10,19,12,3,2
JaCoCo Coverage Report,org.apache.commons.cli,UnrecognizedOptionException,0,15,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,org.apache.commons.cli,AmbiguousOptionException,61,0,4,0,16,0,5,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine.Builder,23,0,0,0,7,0,4,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,BasicParser,0,5,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,org.apache.commons.cli,GnuParser,60,83,7,13,8,20,6,6,0,2
JaCoCo Coverage Report,org.apache.commons.cli,AlreadySelectedException,12,20,0,0,4,6,3,2,3,2
JaCoCo Coverage Report,org.apache.commons.cli,MissingOptionException,56,0,6,0,15,0,7,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,OptionGroup,85,44,9,5,22,13,9,7,4,5
JaCoCo Coverage Report,org.apache.commons.cli,TypeHandler,148,15,20,0,41,4,19,2,9,2
