GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.apache.commons.cli,PosixParser,314,0,52,0,68,0,33,0,7,0
JaCoCo Coverage Report,org.apache.commons.cli,MissingArgumentException,16,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine,306,37,44,2,63,12,45,5,22,5
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter,444,486,81,39,94,118,66,36,16,26
JaCoCo Coverage Report,org.apache.commons.cli,Option.Builder,76,32,7,1,23,11,16,4,12,4
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser.Builder,24,0,0,0,8,0,4,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser,1009,0,190,0,217,0,125,0,30,0
JaCoCo Coverage Report,org.apache.commons.cli,ParseException,0,4,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.cli,OptionValidator,25,45,8,8,4,10,7,5,1,3
JaCoCo Coverage Report,org.apache.commons.cli,Options,172,125,16,6,35,27,18,11,9,9
JaCoCo Coverage Report,org.apache.commons.cli,Option,367,158,59,9,79,44,61,22,30,19
JaCoCo Coverage Report,org.apache.commons.cli,OptionBuilder,113,31,4,0,46,16,20,3,18,3
JaCoCo Coverage Report,org.apache.commons.cli,Parser,389,3,76,0,103,1,50,1,12,1
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter.OptionComparator,0,6,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.cli,Util,44,18,10,4,7,6,8,3,2,2
JaCoCo Coverage Report,org.apache.commons.cli,PatternOptionBuilder,114,52,25,19,32,10,20,11,3,2
JaCoCo Coverage Report,org.apache.commons.cli,UnrecognizedOptionException,15,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,AmbiguousOptionException,61,0,4,0,16,0,5,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine.Builder,0,23,0,0,0,7,0,4,0,4
JaCoCo Coverage Report,org.apache.commons.cli,BasicParser,0,5,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,org.apache.commons.cli,GnuParser,143,0,20,0,28,0,12,0,2,0
JaCoCo Coverage Report,org.apache.commons.cli,AlreadySelectedException,32,0,0,0,10,0,5,0,5,0
JaCoCo Coverage Report,org.apache.commons.cli,MissingOptionException,56,0,6,0,15,0,7,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,OptionGroup,101,28,14,0,27,8,11,5,4,5
JaCoCo Coverage Report,org.apache.commons.cli,TypeHandler,116,47,10,10,31,14,18,3,9,2
