GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.apache.commons.cli,PosixParser,314,0,52,0,68,0,33,0,7,0
JaCoCo Coverage Report,org.apache.commons.cli,MissingArgumentException,16,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine,267,76,38,8,58,17,42,8,22,5
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter,850,80,120,0,181,31,88,14,28,14
JaCoCo Coverage Report,org.apache.commons.cli,Option.Builder,108,0,8,0,34,0,20,0,16,0
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser.Builder,24,0,0,0,8,0,4,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser,1009,0,190,0,217,0,125,0,30,0
JaCoCo Coverage Report,org.apache.commons.cli,ParseException,0,4,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.cli,OptionValidator,0,70,2,14,0,14,2,10,0,4
JaCoCo Coverage Report,org.apache.commons.cli,Options,125,172,9,13,24,38,14,15,8,10
JaCoCo Coverage Report,org.apache.commons.cli,Option,315,210,39,29,76,47,59,24,32,17
JaCoCo Coverage Report,org.apache.commons.cli,OptionBuilder,144,0,4,0,62,0,23,0,21,0
JaCoCo Coverage Report,org.apache.commons.cli,Parser,389,3,76,0,103,1,50,1,12,1
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter.OptionComparator,0,6,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.cli,Util,33,29,8,6,4,9,5,6,1,3
JaCoCo Coverage Report,org.apache.commons.cli,PatternOptionBuilder,166,0,44,0,42,0,31,0,5,0
JaCoCo Coverage Report,org.apache.commons.cli,UnrecognizedOptionException,8,7,0,0,3,3,2,1,2,1
JaCoCo Coverage Report,org.apache.commons.cli,AmbiguousOptionException,0,61,0,4,0,16,0,5,0,3
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine.Builder,6,17,0,0,2,5,1,3,1,3
JaCoCo Coverage Report,org.apache.commons.cli,BasicParser,0,5,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,org.apache.commons.cli,GnuParser,86,57,12,8,13,15,8,4,0,2
JaCoCo Coverage Report,org.apache.commons.cli,AlreadySelectedException,9,23,0,0,3,7,2,3,2,3
JaCoCo Coverage Report,org.apache.commons.cli,MissingOptionException,2,54,1,5,0,15,1,6,0,4
JaCoCo Coverage Report,org.apache.commons.cli,OptionGroup,100,29,14,0,27,8,11,5,4,5
JaCoCo Coverage Report,org.apache.commons.cli,TypeHandler,146,17,20,0,41,4,19,2,9,2
