GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.apache.commons.cli,PosixParser,196,118,37,15,34,34,24,9,1,6
JaCoCo Coverage Report,org.apache.commons.cli,MissingArgumentException,0,16,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine,257,86,38,8,53,22,39,11,18,9
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter,789,141,112,8,169,43,88,14,28,14
JaCoCo Coverage Report,org.apache.commons.cli,Option.Builder,60,48,6,2,18,16,14,6,10,6
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser.Builder,24,0,0,0,8,0,4,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser,1009,0,190,0,217,0,125,0,30,0
JaCoCo Coverage Report,org.apache.commons.cli,ParseException,0,4,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.cli,OptionValidator,25,45,8,8,4,10,7,5,1,3
JaCoCo Coverage Report,org.apache.commons.cli,Options,215,82,20,2,44,18,23,6,12,6
JaCoCo Coverage Report,org.apache.commons.cli,Option,342,183,52,16,81,42,61,22,33,16
JaCoCo Coverage Report,org.apache.commons.cli,OptionBuilder,115,29,4,0,47,15,20,3,18,3
JaCoCo Coverage Report,org.apache.commons.cli,Parser,378,14,76,0,100,4,49,2,11,2
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter.OptionComparator,6,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.apache.commons.cli,Util,40,22,9,5,6,7,7,4,2,2
JaCoCo Coverage Report,org.apache.commons.cli,PatternOptionBuilder,113,53,24,20,32,10,19,12,3,2
JaCoCo Coverage Report,org.apache.commons.cli,UnrecognizedOptionException,0,15,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,org.apache.commons.cli,AmbiguousOptionException,61,0,4,0,16,0,5,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine.Builder,0,23,0,0,0,7,0,4,0,4
JaCoCo Coverage Report,org.apache.commons.cli,BasicParser,5,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.apache.commons.cli,GnuParser,143,0,20,0,28,0,12,0,2,0
JaCoCo Coverage Report,org.apache.commons.cli,AlreadySelectedException,12,20,0,0,4,6,3,2,3,2
JaCoCo Coverage Report,org.apache.commons.cli,MissingOptionException,56,0,6,0,15,0,7,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,OptionGroup,85,44,9,5,22,13,9,7,4,5
JaCoCo Coverage Report,org.apache.commons.cli,TypeHandler,111,52,13,7,30,15,14,7,7,4
