GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.apache.commons.cli,PosixParser,212,102,39,13,41,27,26,7,2,5
JaCoCo Coverage Report,org.apache.commons.cli,MissingArgumentException,16,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine,206,137,31,15,43,32,35,15,17,10
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter,391,539,80,40,80,132,67,35,15,27
JaCoCo Coverage Report,org.apache.commons.cli,Option.Builder,81,27,7,1,25,9,17,3,13,3
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser.Builder,24,0,0,0,8,0,4,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,DefaultParser,812,197,168,22,161,56,111,14,18,12
JaCoCo Coverage Report,org.apache.commons.cli,ParseException,0,4,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.cli,OptionValidator,23,47,7,9,3,11,6,6,1,3
JaCoCo Coverage Report,org.apache.commons.cli,Options,161,136,14,8,35,27,14,15,6,12
JaCoCo Coverage Report,org.apache.commons.cli,Option,320,205,49,19,73,50,55,28,29,20
JaCoCo Coverage Report,org.apache.commons.cli,OptionBuilder,144,0,4,0,62,0,23,0,21,0
JaCoCo Coverage Report,org.apache.commons.cli,Parser,389,3,76,0,103,1,50,1,12,1
JaCoCo Coverage Report,org.apache.commons.cli,HelpFormatter.OptionComparator,0,6,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.cli,Util,36,26,8,6,5,8,6,5,2,2
JaCoCo Coverage Report,org.apache.commons.cli,PatternOptionBuilder,113,53,24,20,32,10,19,12,3,2
JaCoCo Coverage Report,org.apache.commons.cli,UnrecognizedOptionException,15,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,AmbiguousOptionException,61,0,4,0,16,0,5,0,3,0
JaCoCo Coverage Report,org.apache.commons.cli,CommandLine.Builder,23,0,0,0,7,0,4,0,4,0
JaCoCo Coverage Report,org.apache.commons.cli,BasicParser,5,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.apache.commons.cli,GnuParser,70,73,9,11,10,18,6,6,0,2
JaCoCo Coverage Report,org.apache.commons.cli,AlreadySelectedException,32,0,0,0,10,0,5,0,5,0
JaCoCo Coverage Report,org.apache.commons.cli,MissingOptionException,2,54,1,5,0,15,1,6,0,4
JaCoCo Coverage Report,org.apache.commons.cli,OptionGroup,97,32,14,0,26,9,10,6,3,6
JaCoCo Coverage Report,org.apache.commons.cli,TypeHandler,140,23,18,2,39,6,18,3,9,2
